service_id,service_description,agency_id,agency_name
74646,Vallejo Routes (Weekend),SB,San Francisco Bay Ferry
74654,Vallejo Routes (Weekday),SB,San Francisco Bay Ferry
72914,Weekdays,SC,VTA
72915,Saturday,SC,VTA
72916,Sunday,SC,VTA
74716,April 13th Special Service,SC,VTA
73692,Weekday,SF,San Francisco Municipal Transportation Agency
73693,Saturday,SF,San Francisco Municipal Transportation Agency
73694,Sunday,SF,San Francisco Municipal Transportation Agency
73025,Sunday,SM,SamTrans
73026,Weekday,SM,SamTrans
73027,Weekday,SM,SamTrans
73028,Weekday,SM,SamTrans
73029,Thu,SM,SamTrans
73030,Mon Tue Wed Fri,SM,SamTrans
73031,Mon Tue Thu Fri,SM,SamTrans
73032,Wed,SM,SamTrans
73033,Wed Thu,SM,SamTrans
73034,Mon Tue Fri,SM,SamTrans
73035,Mon Wed Thu Fri,SM,SamTrans
73036,Tue,SM,SamTrans
73037,Tue Thu,SM,SamTrans
73038,Saturday,SM,SamTrans
73086,School Trippers (Wednesday only),SO,Sonoma County Transit LastGenerated
73087,School Trippers (Monday-Friday),SO,Sonoma County Transit LastGenerated
73088,"School Trippers (Monday, Tuesday, Thursday, Friday)",SO,Sonoma County Transit LastGenerated
73089,Year Round Beginning 3/10/19 (Weekend),SO,Sonoma County Transit LastGenerated
73720,Year Round Beginning 3/10/19 (Saturday only),SO,Sonoma County Transit LastGenerated
73721,Year Round Beginning 3/10/19 (Monday-Friday),SO,Sonoma County Transit LastGenerated
73722,Year Round (Weekend),SO,Sonoma County Transit LastGenerated
73838,Year Round (Saturday only),SO,Sonoma County Transit LastGenerated
74187,Year Round (Monday-Friday),SO,Sonoma County Transit LastGenerated
74188,SpecialService,SO,Sonoma County Transit LastGenerated
74189,SpecialService,SO,Sonoma County Transit LastGenerated
74691,SpecialService,SO,Sonoma County Transit LastGenerated
74692,SpecialService,SO,Sonoma County Transit LastGenerated
73068,Saturday,SR,Santa Rosa CityBus LastGenerated
73069,Sunday,SR,Santa Rosa CityBus LastGenerated
73070,Mon - Fri,SR,Santa Rosa CityBus LastGenerated
73005,Year Round Eff 10 Mar 2019 (Sunday only),ST,SolTrans LastGenerated
73006,Year Round Eff 10 Mar 2019 (Saturday only),ST,SolTrans LastGenerated
73007,Year Round Eff 10 Mar 2019 (Monday-Friday),ST,SolTrans LastGenerated
73008,Year Round Eff 10 Mar 2019 (Friday only),ST,SolTrans LastGenerated
73009,Year Round Eff 10 Mar 2019 (Monday-Thursday),ST,SolTrans LastGenerated
73991,Route 20 (Monday-Friday),ST,SolTrans LastGenerated
74346,Weekday,TD,Tideline Marine Group Inc LastGenerated
72865,Saturday,UC,Union City Transit LastGenerated
72866,Weekday,UC,Union City Transit LastGenerated
72867,Sunday,UC,Union City Transit LastGenerated
72877,RT2 Non-School (Saturday only),VC,Vacaville City Coach LastGenerated
72878,RT2 Non-School (Monday-Friday),VC,Vacaville City Coach LastGenerated
74262,RT2 Non-School (Saturday only),VC,Vacaville City Coach LastGenerated
74263,RT2 Non-School (Monday-Friday),VC,Vacaville City Coach LastGenerated
74264,School Year (Wednesday only),VC,Vacaville City Coach LastGenerated
74265,School Year (Saturday only),VC,Vacaville City Coach LastGenerated
74266,School Year (Monday-Friday),VC,Vacaville City Coach LastGenerated
74267,"School Year (Monday, Tuesday, Thursday, Friday)",VC,Vacaville City Coach LastGenerated
74268,School Year (Wednesday only),VC,Vacaville City Coach LastGenerated
74269,School Year (Saturday only),VC,Vacaville City Coach LastGenerated
74270,School Year (Monday-Friday),VC,Vacaville City Coach LastGenerated
74271,"School Year (Monday, Tuesday, Thursday, Friday)",VC,Vacaville City Coach LastGenerated
74272,Year Round (Saturday only),VC,Vacaville City Coach LastGenerated
74439,Year Round (Monday-Friday),VC,Vacaville City Coach LastGenerated
74440,SpecialService,VC,Vacaville City Coach LastGenerated
73047,Sunday,VN,Napa LastGenerated
73048,Weekday,VN,Napa LastGenerated
73049,Saturday,VN,Napa LastGenerated
72889,Starting 2/11/19 (Monday-Friday),WC,WestCat (Western Contra Costa) LastGenerated
72890,JX Year Round Service (Monday-Friday),WC,WestCat (Western Contra Costa) LastGenerated
72891,Routes 11 & 19 Saturday Service (Saturday only),WC,WestCat (Western Contra Costa) LastGenerated
72892,Express J (Sunday only),WC,WestCat (Western Contra Costa) LastGenerated
72893,Express J (Saturday only),WC,WestCat (Western Contra Costa) LastGenerated
72894,Express J (Monday-Friday),WC,WestCat (Western Contra Costa) LastGenerated
72895,School Calendar (Wednesday only),WC,WestCat (Western Contra Costa) LastGenerated
72896,School Calendar (Monday-Friday),WC,WestCat (Western Contra Costa) LastGenerated
72897,"School Calendar (Monday, Tuesday, Thursday, Friday)",WC,WestCat (Western Contra Costa) LastGenerated
74352,Year Round Calendar (Monday-Friday),WC,WestCat (Western Contra Costa) LastGenerated
74353,SpecialService,WC,WestCat (Western Contra Costa) LastGenerated
74354,SpecialService,WC,WestCat (Western Contra Costa) LastGenerated
74355,SpecialService,WC,WestCat (Western Contra Costa) LastGenerated
72989,Saturday,WH,Livermore Amador Valley Transit Authority LastGenerated
72990,Sunday,WH,Livermore Amador Valley Transit Authority LastGenerated
72991,Wednesday,WH,Livermore Amador Valley Transit Authority LastGenerated
73738,"Mon, Fri",WH,Livermore Amador Valley Transit Authority LastGenerated
74396,Tuesday,WH,Livermore Amador Valley Transit Authority LastGenerated
74397,Thursday,WH,Livermore Amador Valley Transit Authority LastGenerated
